institute_short,degree_short,program_name
IIT-Kharagpur,Int MSc.,Chemistry
IIT-(BHU) Varanasi,B.Tech + M.Tech (IDD),Electrical Engineering with M.Tech. in Power Electronics
NIT-Hamirpur,B.Tech,Chemical Engineering
NIT-Hamirpur,B.Tech,Chemical Engineering
NIT-Hamirpur,B.Tech,Chemical Engineering
NIT-Hamirpur,B.Tech,Chemical Engineering
NIT-Hamirpur,B.Tech,Chemical Engineering
NIT-Srinagar,B.Tech,Civil Engineering
IIT-(ISM) Dhanbad,Int M.Tech,Applied Geophysics
IIT-Kharagpur,B.Tech + M.Tech (IDD),Civil Engineering with any of the listed specialization
NIT-Rourkela,Btech + M.Tech (IDD),Metallurgical and Materials Engineering
NIT-Agartala,Int M.Tech,Mathematics and Computing
IIT-Kharagpur,B.Tech,Ocean Engineering and Naval Architecture
NIT-Meghalaya,B.Tech,Electronics and Communication Engineering
NIT-Meghalaya,B.Tech,Electronics and Communication Engineering
NIT-Meghalaya,B.Tech,Electronics and Communication Engineering
NIT-Meghalaya,B.Tech,Electronics and Communication Engineering
IIT-Gandhinagar,B.Tech,Chemical Engineering
NIT-Agartala,BSc + MSc (IDD),Mathematics & Computing
NIT-Agartala,BSc + MSc (IDD),Mathematics & Computing
NIT-Agartala,BSc + MSc (IDD),Mathematics & Computing
NIT-Agartala,BSc + MSc (IDD),Mathematics & Computing
NIT-Agartala,BSc + MSc (IDD),Mathematics & Computing
IIT-Bhilai,B.Tech,Data Science and Artificial Intelligence
IIT-Bhilai,B.Tech,Data Science and Artificial Intelligence
IIT-Bhilai,B.Tech,Data Science and Artificial Intelligence
IIT-Bhilai,B.Tech,Data Science and Artificial Intelligence
IIT-Bhilai,B.Tech,Data Science and Artificial Intelligence
IIT-(ISM) Dhanbad,Int M.Tech,Applied Geology
NIT-Manipur,B.Tech,Computer Science and Engineering
